approach,run,p99_latency_us,drop_rate,throughput_gbps
no_control,0,2196.08133415426,0.02578660097426321,83.87822019427142
no_control,1,2199.6665511597553,0.02748497963928862,85.0168410754086
no_control,2,2213.928440451175,0.02717854479304288,85.4409976499657
no_control,3,2257.945309966898,0.02260830678416245,84.5870359049431
no_control,4,2271.8172258794248,0.02292219982226922,86.0861534579758
no_control,5,2263.1315442558,0.026076231576254567,86.22041655421584
no_control,6,2250.5531379251242,0.028642322011248222,86.2393859084284
no_control,7,2166.8268713016746,0.03131426365243146,83.7307425592462
no_control,8,2212.777523439013,0.028825937876151737,85.58222232648218
no_control,9,2219.9824366148555,0.02567880297941355,85.06939970590204
dibs,0,1909.1046405772577,0.012778375143281222,86.29404244522651
dibs,1,1903.872094281804,0.011831930018005357,85.44083446080856
dibs,2,1938.43305406596,0.012412096003207012,86.33106292278639
dibs,3,1956.6083904309394,0.01164652255789925,85.21778737844593
dibs,4,1920.3265989618976,0.013320072810293373,85.35803687655513
dibs,5,1929.8523931804082,0.01186370206170165,85.05885906725297
dibs,6,1928.0794594297124,0.011782571337726078,86.5189801115331
dibs,7,1895.4426332063492,0.012084840847346717,87.75795130876384
dibs,8,1935.3008080515103,0.012559297095501533,86.17934380784214
dibs,9,1943.6869065785916,0.011523933920090861,87.15212615467497
ecn,0,1916.3282835031107,0.01018249763272509,85.6874875623281
ecn,1,1878.1673694939116,0.006708557365678038,85.30761990769811
ecn,2,1889.8052842059446,0.008374007228523345,86.68519774002314
ecn,3,1877.7998415835243,0.00808927011284668,85.18299731196507
ecn,4,1919.4158006048265,0.007635408077305816,85.61740557684222
ecn,5,1902.4187387103334,0.008223927509237833,85.54303678249013
ecn,6,1887.2265810105569,0.00854535319268888,85.9591496704035
ecn,7,1880.541933690075,0.007016847510472759,86.14460775913192
ecn,8,1861.8928327519998,0.007979024897714132,85.05120551169057
ecn,9,1884.6607807735543,0.00787452430621615,86.23841171843813
hpcc,0,1839.7429435439835,0.00540409460611506,86.38090531502053
hpcc,1,1823.798108735201,0.0056775279503036985,87.32399338743186
hpcc,2,1835.8416445681764,0.004452849592527803,88.88215432991717
hpcc,3,1816.0229413614443,0.005211065066193912,86.8360209367115
hpcc,4,1833.6739666307842,0.005155192615717579,86.31452707982676
hpcc,5,1846.6924178548888,0.005621098549594703,87.52852375853547
hpcc,6,1872.478092508274,0.004860478019016535,88.42111262463737
hpcc,7,1867.1700594278182,0.0048922450143909805,88.45370278097599
hpcc,8,1872.3947841111353,0.005428769440073304,86.23290384269941
hpcc,9,1848.7438609043622,0.0048697673463106005,86.22510254137649
apex,0,1155.57124266302,0.0002661723834117393,89.27362438264069
apex,1,1113.3828400817463,0.00026110947349948407,88.69147613285725
apex,2,1115.3184596218118,0.0002993583776833582,88.81115690754287
apex,3,1081.176721717997,0.00027151260376106356,88.48410552577236
apex,4,1118.8833837130835,0.000273514534224739,89.60268384739776
apex,5,1128.048232981119,0.00025516386969162615,88.72425600185244
apex,6,1114.6018648238376,0.00028128603820501115,86.15485375441811
apex,7,1097.8450551734747,0.00024633876941886404,88.03962769441665
apex,8,1093.1547910627578,0.00026256749074815284,88.53972387018732
apex,9,1131.7340847504943,0.00023140634924908026,87.25984649657168
